name,twitterHandler,linkTwitter,project,image,note
DeFi Dad ⟠ defidad.eth,@DeFi_Dad,,Crypto Influencers on Youtube,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/DeFi%20Dad%20%E2%9F%A0%20defidad.eth.jpg?alt=media,
Kaduna,@CryptoKaduna,,Crypto Influencers,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Kaduna.jpg?alt=media,
LOVRIN🕊,@Lovrincrypto,,Crypto Influencers,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/%F0%9F%95%8ALOVRIN%F0%9F%95%8A.jpg?alt=media,
CryptoMocro🇲🇦,@CryptoMocro_,,Crypto Influencers,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/CryptoMocro%F0%9F%87%B2%F0%9F%87%A6.jpg?alt=media,
Zaki ⚛️🍷,@zmanian,,Crypto Influencers,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Zaki%20%E2%9A%9B%EF%B8%8F%F0%9F%8D%B7.jpg?alt=media,
Nick Tomaino,@NTmoney,,Founder of 1confirmation,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Nick%20Tomaino.jpg?alt=media,
Pete Kim,@petejkim,,Creator @CoinbaseWallet@CipherBrowser,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Pete%20Kim.jpg?alt=media,
Gokul Rajaram,@gokulr,,Crypto Influencers,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Gokul%20Rajaram.jpg?alt=media,
Jonny 👾,@0xHustlepedia,,"Founder @TTOONFT@NexusLabsGG📊 Host 
@Crypto_Banter
 ",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Jonny%20%F0%9F%91%BE.jpg?alt=media,
openthefridge,@fridgeintheopen,,Crypto Influencers,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/openthefridge.jpg?alt=media,
RPH,@readyplayerh,,Crypto Influencers,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/RPH.jpg?alt=media,
dingaling,@dingalingts,,Crypto Influencers,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/dingaling.jpg?alt=media,
RYAN SΞAN ADAMS - rsa.eth,@RyanSAdams,,Founder of Bankless and as a General Partner at Bankless Ventures,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/RYAN%20S%CE%9EAN%20ADAMS%20-%20rsa.eth%20%F0%9F%A6%84.jpg?alt=media,
Suji Yan - Mask is BUIDLing,@suji_yan,,"Founder of @realmasknetwork
 ",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Suji%20Yan%20-%20Mask%20is%20BUIDLing.jpg?alt=media,
cevo,@cryptocevo,,Crypto Influencer,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/cevo.jpg?alt=media,
"Dovey ""Rug the fiat"" Wan",@DoveyWan,,Founder of Primitive Ventures,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Dovey%20_Rug%20the%20fiat_%20Wan%20%28hiring%29.jpg?alt=media,
Ben Zhou,@benbybit,,Co-founder & CEO of Bybit,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Ben%20Zhou.jpg?alt=media,
Dr.Han,@han_gate ,,Founder of Gate.io,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Dr.%20Han.jpg?alt=media,
Star,@star_okx ,,CEO of OKX,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Star.jpg?alt=media,
Engin Kaan Arslan,@0xFunder,,CEO of fund thing,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Engin%20Kaan%20Arslan.jpg?alt=media,
Aubrey Strobel,@aubreystrobel,,"creator, author and advisor",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Aubrey%20Strobel.jpg?alt=media,
Simon Kim,@simonkim_nft,,CEO & Managing Partner of Hashed,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Simon%20Kim.jpg?alt=media,
Ben | Over 🌐,@overnance,,Founder of Over Protocol,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Ben%20_%20Over%20%F0%9F%8C%90.jpg?alt=media,
Andrew Kim,@minseokk1m,,ex-president of decipher,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Andrew%20Kim.jpg?alt=media,
david.over,@over_gazua,,Marketing Lead of Super Block,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/david.over.jpg?alt=media,
Jake Chervinsky,@jchervinsky,,CLO of Variant,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Jake%20Chervinsky.jpg?alt=media,
Thuan Capital,@ThuanCapital,,Crypto Youtuber,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/ThuanCapital.eth.jpg?alt=media,
Lê Nin,@LeninUGReal,,Founder of TradeCoinUnderGround,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Le%CC%82%20Nin.jpg?alt=media,
Thế Khương 🐸,@thekhuongeth,,Crypto Influencers,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/The%CC%82%CC%81%20Khu%CC%9Bo%CC%9Bng%20%F0%9F%90%B8.jpg?alt=media,
TNC.hc 🇻🇳,@TNC404,,Co-founder & CEO of HC Capital,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/TNC.hc%20%F0%9F%87%BB%F0%9F%87%B3.jpg?alt=media,
Hên Vãi,@henvaibta,,Founder of BlogTienAo,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/He%CC%82n%20Va%CC%83i.jpg?alt=media,
Jenny Nguyen,@jennynguyen68_,,"COO of Kyros Ventures, Coin68",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Jenny%20Nguyen%20_%20GM%20Vietnam%207-8%20June%20(.jpg?alt=media,
Hoang Minh Thien,@ThienTCVN,,"Founder of TradeCoinVN, K300 Ventures",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Hoang%20Minh%20Thien.jpg?alt=media,
Ryan Nguyen,@RauMuongLuocHC,,Founder HC Capital,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Quan%20Nguyen.jpg?alt=media,
"Alex G. (∎, ∆)",@gluk64,,Founder of ZkSync,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Alex%20G.%20%28%E2%88%8E%2C%20%E2%88%86%29.jpg?alt=media,
Irene Zhao,@Irenezhao_,,Founder of Irene DAO,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Irene%20Zhao.jpg?alt=media,
Sunny Aggarwal ,@sunnya97,,Co-founder of Osmosis,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Sunny%20Aggarwal%20%F0%9F%A7%AA%20%E2%82%BF.jpg?alt=media,
Kay Capital,@keyahayek,,Angel Investor of Monad,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Kay%20Capital.jpg?alt=media,
Cryptocito | Cosmos,@Cryptocito,,Co-Founder Cosmos,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Cryptocito%20_%20Cosmos%20%E2%9A%9B%EF%B8%8F.jpg?alt=media,
azzyook.eth,@jazzyook,,Head of Marketing of HashFlow,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/jazzyook.eth.jpg?alt=media,
Varun (🖤🤍),@GandalfTheBr0wn,,Co-founder of HashFlow,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Varun%20%28%F0%9F%96%A4%F0%9F%A4%8D%29.jpg?alt=media,
victor 🇷🇴 🇺🇸,@gxmxni,,Co-founder of HashFlow,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/victor%20%F0%9F%87%B7%F0%9F%87%B4%20%F0%9F%87%BA%F0%9F%87%B8.jpg?alt=media,
Sam Thapaliya,https://x.com/sam_thapaliya,,Founder of Zebec Protocol,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Sam%20Thapaliya.jpg?alt=media,
Alex.BSL,@AlexBSLCo,,Founder BlockSmith Labs,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Alex.BSL.jpg?alt=media,
Bryan Pellegrino (臭企鹅),@PrimordialAA,,Co-Founder and CEO of LayerZero Labs.,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Bryan%20Pellegrino%20%28%E8%87%AD%E4%BC%81%E9%B9%85%29.jpg?alt=media,
raz,@ryanzarick,,Co-Founder and CTO of LayerZero Labs.,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/raz.jpg?alt=media,
cb,@caleb_banister,,Co-Founder  of LayerZero Labs.,,
Robby Yung ⦿⦿⦿,@viewfromhk,,CEO of Amonica Brands,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Robby%20Yung%20%E2%A6%BF%E2%A6%BF%E2%A6%BF.jpg?alt=media,
Yat Siu,@ysiu,,Chairman of Amonica Brands,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Yat%20Siu.jpg?alt=media,
JAMES @ ANIMOCA VENTURES,@JIQQYJONES,,Head of Amonica Ventures,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/JAMES%20%40%20ANIMOCA%20VENTURES.jpg?alt=media,
Jenny @ Animoca Ventures,@jennyqcheng,,VP of investments of Amonica Ventures,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Jenny%20%40%20Animoca%20Ventures.jpg?alt=media,
Amy Wu,@amytongwu,,Consumer & Gaming Partner of MenloVentures,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Amy%20Wu.jpg?alt=media,
yq,@yq_acc,,Founder of AltLayer,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/YQ.jpg?alt=media,
Christopher Louis Tsu,@louis_tsu,,CEO of Venom Foundation,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Christopher%20Louis%20Tsu.jpg?alt=media,
Vivien Lin @ BingX,@Vivien_BingX,,CPO of BingX,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Vivien%20Lin%20%40%20BingX.jpg?alt=media,
"Zane (🎮,🟢)",@zanengx,,Co-Founder Kyros Ventures,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Zane%20%28%F0%9F%8E%AE%2C%F0%9F%9F%A2%29.jpg?alt=media,
Long Nguyen,@EledraNguyen,,CTO of Aura Network,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Long%20Nguyen.jpg?alt=media,
Vugar Usi Zade,@usithetalk,,COO of Bitget,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Vugar%20Usi%20Zade.jpg?alt=media,
kriss.sui,@djchrisssssss,,Founder of Scallop_io,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/kriss.sui.jpg?alt=media,
Aniket,@aniket_jindal08,,Co-Founder Biconomy,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Aniket.png?alt=media,
TB | Holdstation,@trungbanhh,,Co-Founder Holdstation,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/TB%20_%20Holdstation.jpg?alt=media,
Leonardo.eth,@leonardong169,,CMO of Holdstation,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Leonardo.eth.jpg?alt=media,
victorji.eth ✨,@victorJi15,,Co-Founder Manta Network,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/victorji.eth%20%E2%9C%A8.jpg?alt=media,
Tom Ngo,@tomngodefi,,CEO of Metis,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Tom%20Ngo.jpg?alt=media,
Alvin kan,@alvin_kan,,COO of Bitget Wallet,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Alvin%20Kan.jpg?alt=media,
Jonny,@yangjonnyy,,Co-Founder & CEO Creatory,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Jonny.jpg?alt=media,
Erick Pinos,@erickpinos,,Ecosystem Lead of NibiruChain,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Erick%20Pinos.jpg?alt=media,
Lynn 🧊,@LynnWWins,,COO of Cube Exchange,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Lynn%20%F0%9F%A7%8A.jpg?alt=media,
Larry Wu,@0xlwu,,Co-Founder & CTO of Cube Exchange,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Larry%20Wu.jpg?alt=media,
Yo in,@YoannTurpin1,,Co-founder of Wintermute ,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Yo%20in%20%F0%9F%87%B8%F0%9F%87%AC.jpg,
Marina Gurevich,@emgurevich,,COO of Wintermute,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Marina%20Gurevich.jpg?alt=media,
icunucmi,@icunucmi,,Co-founder  òARCtheCommunity,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/icunucmi.jpg?alt=media,
Ran,@ranyi1115,,Co-founder of Olderly Network,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Ran.jpg?alt=media,
Hong,@hfangca,,President of OKX,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Hong.jpg?alt=media,
Jason Lau,@jasonklau,,CIO of OKX,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Jason%20Lau.jpg?alt=media,
Dr. Jeff Ross,@VailshireCap,,Founder/CEO Vailshire Capital Management LLC,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Dr.%20Jeff%20Ross.jpg?alt=media,
Nik Bhatia,@timevalueofbtc,,Founder of The BitcoinLayer,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Nik%20Bhatia.jpg?alt=media,
Sangmin Seo (Sam),@seo_sangmin,,Representative Director of Klaytn Foundation,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Sangmin%20Seo%20%28Sam%29.jpg?alt=media,
Zhuang🌊庄,@0x_ZHUANG,,CMO of Scallop_io,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Zhuang%F0%9F%8C%8A%E5%BA%84.jpg?alt=media,
Keone Hon ⨀,@keoneHD,,Co-founder of Monad,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Keone%20Hon%20%E2%A8%80.jpg?alt=media,
david.apt,@david_wolinsky,,Head of Engineering of Aptos,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/david.apt.jpg?alt=media,
Ken Bassig,@KMagcap,,Head of Defi of Taika,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Ken%20Bassig.jpg?alt=media,
Andy,@ETHuncho,,Director of Asia of FraxFinance,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Andy.jpg?alt=media,
Luis Ocegueda,@luis_oce,,CTO of Trust Wallet,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Luis%20Ocegueda.jpg?alt=media,
Tushar | Persistence 🦾,@Tushar307,,Founder Persistence One,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Tushar%20_%20Persistence%20%F0%9F%A6%BE.jpg?alt=media,
Mikhil Pandey,@PandeyMikhil,,Co-Founder Persistence One,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Mikhil%20Pandey.jpg?alt=media,
Gab Yang,@GabeWithTheHat,,Director of ARCtheCommunity,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Gab%20Yang.jpg?alt=media,
Chandler Song,@chandlersyf,,Co-founder of ANKR,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Chandler%20Song.jpg?alt=media,
Ronghui Gu,@RonghuiGu,,Co-founder Cetik,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Ronghui%20Gu.jpg?alt=media,
Shahaf Bar-Geffen,@shahafbg,,CEO of COTI Foundation,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Shahaf%20Bar-Geffen.jpg?alt=media,
Denko Mancheski,@denkomancheski,,CEO of Reef,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Denko%20Mancheski.jpg?alt=media,
Pavel Bains,@pavelbains,,Co-founder Bluzelle (BLZ),https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Pavel%20Bains.jpg?alt=media,
Björn Wagner,@bjornwgnr,,"Founder Parity Tech, Polkadot",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Bjo%CC%88rn%20Wagner.jpg?alt=media,
Melody He,@melmelmelting,,Co-founder & Partner of The Spartan Group,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Melody%20He.jpg?alt=media,
Casper Johansen,@CasperJohansen,,Co-founder of The Spartan Group,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Casper%20Johansen.jpg?alt=media,
Franklin Bi,@FranklinBi,,Gerenal Partner of Pantera Capital,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Franklin%20Bi.jpg?alt=media,
Eric Turner,@ericturnr,,Chief Revenue Officer at Messari,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Eric%20Turner.jpg?alt=media,
Ryan Watkin,@RyanWatkins_,,Co-Founder of Syncracy Capital,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Ryan%20Watkins.jpg?alt=media,
TIN | Sipher Odyssey & Ather Labs,@AskTinNguyen,,Founder of Sipher & Ather Labs,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/TIN%20_%20Sipher%20Odyssey%20%26%20Ather%20Labs.jpg?alt=media,
Chess | GM,@gmchessxyz,,CEO of QuestN,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Chess%20_%20GM.jpg?alt=media,
Marouen Zelleg,@marouen19,,Director of Growth of Consensys,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Marouen%20Zelleg.jpg?alt=media,
Corey Wilton,@RealCoreyWilton,,CEO & Founder of Mirai Labs,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Corey%20Wilton.jpg?alt=media,
Henry_BTSE,@henryxliu,,CEO of BTSE,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Henry_BTSE.jpg?alt=media,
pweeh,@0xpweeh,,Co-founder of MoonGate,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/pweeh.jpg?alt=media,
Zhen,@zenzhenyu,,Founder of Web3Auth,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Zhen.png?alt=media,
Tracy大表姐,@Cryptotracy27,,"Following, Ex-CEO of Cointelegraph Chinese",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Tracy%E5%A4%A7%E8%A1%A8%E5%A7%90.jpg?alt=media,
Ake,@AkeGaviar,,"Director of Developer Experience of Chainstack
",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Ake.jpg?alt=media,
BrendinoAG,@BrendinoAG,,Co-Founder Avocado DAO,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/BrendinoAG.jpg?alt=media,
Kit I Zentry ⚡️,@KitGazinpoj,,"Co-founder of Zentry, GuildFi",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Kit%20I%20Zentry%20%E2%9A%A1%EF%B8%8F.jpg?alt=media,
Calvin | Impossible is always BUIDLing,@calchulus,,Co-founder Impossible Finance,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Calvin%20_%20Impossible%20is%20always%20BUIDLing.jpg?alt=media,
Howard,@howardx30,,Co-founder Ancient8,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Howard.jpg?alt=media,
Mauvis Ledford,@krunkosaurus,,Former CTO of Coinmarket Cap,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Mauvis%20%E2%80%9CRules%20without%20rulers%E2%80%9D%20Ledford.jpg?alt=media,
Tin⚡,@Tin_jpeg,,Co-founder of SeekHYPE,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Tin%E2%9A%A1.jpg?alt=media,
Quan Nguyen,@Quan6888,,CTO of Fantom,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Quan%20Nguyen.jpg?alt=media,
Michael Kong,@michaelfkong,,CEO/CIO of Fantom,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Michael%20Kong.jpg?alt=media,
